IP,RESULT
115.231.254.38,This IP was reported 1136 times. Confidence of Abuse is 100% harmful 
197.237.161.112,This IP was reported 472 times. Confidence of Abuse is 100% harmful 
58.150.154.235,This IP was reported 689 times. Confidence of Abuse is 100% harmful 
193.33.101.229,This IP was reported 637 times. Confidence of Abuse is 100% harmful 
59.12.246.85,This IP was reported 164 times. Confidence of Abuse is 100% harmful 
103.129.112.105,This IP was reported 545 times. Confidence of Abuse is 100% harmful 
171.8.7.8,This IP was reported 515 times. Confidence of Abuse is 100% harmful 
5.172.10.64,This IP was reported 430 times. Confidence of Abuse is 100% harmful 
82.119.113.178,This IP was reported 358 times. Confidence of Abuse is 100% harmful 
189.216.250.11,This IP was reported 1223 times. Confidence of Abuse is 100% harmful 
148.71.33.24,This IP was reported 746 times. Confidence of Abuse is 100% harmful 
103.238.231.154,This IP was reported 382 times. Confidence of Abuse is 100% harmful 
